,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151
172,279428.5714285714,0.0,,0.1428571428571428,,0.1428571428571428,,2113188.1666666665,0.0,45572557.0,0.0,125730000.0,1.5714285714285714,2.0,14,0.0,3.0,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,,0,0,2.4285714285714284,0.0,,1000000.0,220499958000002.0,0.5,1.1238747642703542,0.0,,0.0,0.0,,,,7.0,7.0,6.0,2073184.0,,1,8755428.0,,956000.0,7177381.571428572,,inf,0.0,8.0,12043001.0,2142857.1428571427,4,0.0,0.1428571428571428,-22916.85714285714,,,,8.0,446501.1428571429,1501091.0,6434310.0,6,0,,,0.0,0.6666666666666666,0.1428571428571428,0.4285714285714285,0.0,1000000.0,1.0,589358.2857142857,2.0,0.0,1471091.0,0.1428571428571428,148901.57142857142,635485708.0,178.0,125,0.0,956682.0,0.0,2.0,0.0,1000000.0,,1.0,1000000.0,5019704.0,214441.57142857145,0.1428571428571428,302876.4285714286,7900245000000000.0,,0.0,0.6666666666666666,0.0,1.3333333333333337,1.0,0.0,3554368.714285714,6829441.285714285,1680638.8333333333,,0.2857142857142857,428659.1428571429,6663587.714285715,3550145.1428571427,0.1428571428571428,285473.0,18888685.0,0.9,22916.85714285714,0.0,8.0,0.2857142857142857,1018747.2,2.526315789473684,0,0.0,0.0,0.2857142857142857,1471091.0,0.3333333333333333,0.0,1471091.0,0.0,,0.0,0.2857142857142857,0.2857142857142857,0.0,160019.2857142857,0.0,0.4285714285714285,0.0,1.0,2.0,1.2452645454545457,,0.0,0.9997613934621808
333,25434070.285714287,0.0,0.0,3.2857142857142856,,2.571428571428572,,5587033.142857143,8.0,56097600.0,14191650.0,11658035.0,6.857142857142857,3.0,0,0.2857142857142857,325.0,4.428571428571429,1.5714285714285714,1404085.7142857143,0.0,0.7142857142857143,5044709.857142857,62143844.0,55000.0,30,0,0.0924623115577889,2639437.0,16597510.0,1007127.0,628946102480101.1,25.0,9.97206399403223,0.0,inf,8.571428571428571,29.0,4900000.0,,7.0,5.0,14.0,11.0,34981885.71428572,1885714.2857142857,80,24259987.0,9400000.0,1006378.0,2245893.0,1.0,0.037037037037037,3905022.0,5.766666666666668,45806670.0,55205704.14285714,0,0.0,2.2857142857142856,358677.8571428572,72219322891496.66,-4775762.0,1100000.0,15.0,-1681812.7142857143,2892661.0,13483963.0,0,77,33.0,9800000.0,5.0,9.857142857142858,31.0,33.142857142857146,13511819.0,9592868.0,32.0,4431867.571428572,82.0,15.285714285714286,4515097.0,9.0,4087865.5714285714,18644707950204.285,-1124458.5,7,33.57142857142857,11067848.0,0.0,13.0,29.142857142857142,1007127.0,26.81171972343132,13.2,6809834.4,1340300.0,6411308.571428572,6.714285714285714,4283151.285714285,10973044002687.5,11.8,40.42857142857143,83.2,5.0,78.14285714285714,13.5,10.5,19164339.285714287,12783289.714285716,7545009.409090909,2.0,71.57142857142857,4681514.857142857,3647328.142857143,10561403.57142857,46.285714285714285,4893894.857142857,5758583.0,39.72,8601064.142857144,1024754.0,2.0,9.428571428571429,4983019.651162791,0.0697674418604651,162,13.0,13.0,99.0,6516128.0,51.85770750988142,11.571428571428571,3786031.0,16834478.0,3866209.0,64.14285714285714,83.28571428571429,30.428571428571427,3236363.0,4135059.714285714,11.285714285714286,57.142857142857146,4361424.571428572,37.0,14.0,1.011858550651728,0.8964242432097345,0.9562418027900322,2.5773873627000663
479,101245940.57142857,1134035.0,0.0,3.571428571428572,,1.2857142857142858,,9885223.125,0.0,2795683.0,127916014.0,,1.5714285714285714,4.0,0,0.0,17.0,7.285714285714286,4.428571428571429,0.0,0.0,0.0,91781934.14285716,0.0,,3,1,3.1578947368421053,0.0,,310766.0,90462730620111.2,1.0,,0.0,,0.4285714285714285,0.0,-15070000.0,,2.0,1.0,2.0,2.0,33107480.57142857,0.0,0,34916014.0,500000000.0,927400.0,0.0,0.0,2.0,332610063.0,1.2,632368234.0,5714769.571428572,1,17716621.0,1.2857142857142858,-3882795.5714285714,217905392666666.62,,0.0,7.0,1627142.857142857,0.0,137016014.0,2,1,3.0,,0.0,1.0,0.7142857142857143,1.4285714285714286,19019676.0,350366.0,1.0,0.0,,0.0,11529063.0,0.0,19855669.42857143,516718533.3333348,39600.0,82,1.1428571428571428,2651570.0,0.0,2.0,0.5714285714285714,310766.0,,,8655590.5,85406063.0,150065054.0,0.0,384387.1428571429,,,1.7142857142857142,0.6666666666666666,0.0,,0.0,0.5,16010368.857142856,1172782.2857142857,2664463.333333333,,0.2857142857142857,13531500.857142856,0.0,389101.4285714286,0.4285714285714285,21367098.0,78381482.57142857,1.1702127659574468,50016653.0,7155903.0,20.0,0.0,2688425.5,4.265822784810126,0,0.0,0.0,0.4285714285714285,19990563.0,0.3,0.0,,85916014.0,,1.1428571428571428,0.5714285714285714,0.4285714285714285,0.0,0.0,2.2857142857142856,0.2857142857142857,49803626.85714286,1.1666666666666667,2.0,1.56794425087108,inf,0.0111237909968707,1644.004255319149
401,7225474.428571428,1000000.0,0.0,4.857142857142857,1.0,2.2857142857142856,1.0029751751449056,20813768.23809524,2.0,5579174779.0,124444316.0,3944277242.0,2.571428571428572,23.0,0,2.571428571428572,11.0,3.142857142857143,2.4285714285714284,317063207.28571427,2.0,4.142857142857143,17089048.57142857,0.0,30000000.0,16,1,1.3661971830985915,604619504.0,3518295.0,0.0,3123792517144439.0,,0.999249732199384,0.0,1.0,1.5714285714285714,2.0,,1256615.0,23.0,29.0,11.0,7.0,500891881.2857143,,0,38193571.0,,0.0,12144822.42857143,0.0,0.0,1595295.0,3.3666666666666663,11001050279.0,1882291666.2857144,1,2687095.0,2.2857142857142856,-11468.285714285714,2.6691799996876826e+17,-392467.0,,21.0,-691475.1428571428,968009.0,22267461.0,1,7,5.0,,1.0,5.75,2.4285714285714284,1.1428571428571428,13875412.0,2266471187.0,3.0,1577113242.857143,16.0,3.7142857142857135,978209.0,7.0,29804203.14285714,34706511931250.12,0.0,33,3.142857142857143,8232632.0,1.0,12.0,1.2857142857142858,0.0,1.0000430948603338,3.1666666666666665,15779925.5,3235975.0,7739458.714285715,1.4285714285714286,14969915.714285716,336997296759113.6,3.6,6.571428571428571,1.5,4.0,64.78571428571428,1.5,2.0,49464361.28571428,65546139.71428572,478884010.25,19.0,3.142857142857143,45312273.0,7409697.0,87459084.85714285,5.857142857142857,29045430.0,8145848.285714285,3.9361702127659575,251961474.0,1916384.0,1.0,7.714285714285714,164608304.08510637,1.295774647887324,3,3.0,0.0,2.4285714285714284,3662970.0,7.719367588932807,2.142857142857143,3662970.0,0.0,1000000.0,2.0,1.4285714285714286,1.5714285714285714,5312567.0,1583906126.0,1.5714285714285714,1.7142857142857142,3542267.4285714286,2.8,12.0,1.0014057491651578,inf,1.000989271674589,0.6768247141729666
236,172948501.14285713,64920402.0,11964566.57142857,6.285714285714286,0.9449275362318842,8.428571428571429,1.0639231740600432,231091787.27586207,11.0,446035209.0,279911624.0,1528770178.0,5.714285714285714,55.0,0,7.857142857142857,26.0,12.571428571428571,10.857142857142858,99660369.28571428,2.0,5.0,144164568.14285713,109633600.0,5000000.0,15,0,0.7515723270440252,961110758.0,5075818.0,732060.0,5.306241395606963e+16,,4.128299354470268,250000.0,1.0455580865603644,4.285714285714286,3.0,-200000000.0,19355213.8,81.0,66.0,14.0,9.0,366364447.0,,5,518476925.0,3000000.0,10383896.0,99807827.0,12.0,0.5294117647058824,35465171.0,227.80952380952385,302816285.0,148573972.2857143,0,3494160.0,8.428571428571429,-25541137.14285714,2.1505574206824244e+16,-171108179.0,,31.0,-5809209.857142857,40898024.0,346754863.0,0,9,60.0,,17.0,12.0,7.857142857142857,13.714285714285714,211333404.0,961110758.0,10.0,163467711.42857143,54.0,7.571428571428571,1661268.0,6.428571428571429,353651993.5714286,6.592732224056132e+16,-22908000.0,15,9.285714285714286,431783173.0,3.0,11.0,6.0,732060.0,1.125225345313876,7.285714285714286,381981810.5714286,194215920.0,49939352.85714286,10.571428571428571,209773926.57142857,4927524050777197.0,7.571428571428571,10.428571428571429,6.666666666666667,6.0,14.88888888888889,12.5,6.0,142948040.42857143,123221546.71428572,288140000.7,57.0,7.142857142857143,499813831.85714287,157139320.0,173407589.14285713,8.571428571428571,368340150.0,117694806.57142857,9.93103448275862,231918570.2857143,76438343.0,0.0,6.142857142857143,268905741.5862069,0.9374288964732652,20,9.0,10.0,11.714285714285714,101847045.0,55.53118279569893,7.571428571428571,101847045.0,569246307.0,73893623.0,8.285714285714286,7.142857142857143,8.0,213957347.0,177561173.42857143,6.857142857142857,5.857142857142857,394218949.7142857,8.571428571428571,12.0,0.525406249004682,1.6268701780656922,1.076616505175925,1.5418842353872648
209,12783852.0,78792281.0,,1.1428571428571428,,1.0,0.0,187206912.9,0.0,169613011.0,0.0,352998000.0,0.4285714285714285,4.0,0,0.4285714285714285,3.0,0.8571428571428571,0.1428571428571428,27370893.0,1.0,0.7142857142857143,9670910.285714284,10440000.0,,2,0,1.434782608695652,0.0,,6424248.0,8915198428563333.0,,1.035019805869034,0.0,,0.1428571428571428,0.0,,,5.0,7.0,12.0,10.0,42741661.42857143,,0,174217173.0,,5766117.0,39127270.14285714,,,0.0,9.666666666666666,143155347.0,21159571.42857143,2,323284231.0,1.1428571428571428,-1637575.0,5.160868513159749e+17,-68434900.0,,7.0,-3855979.4285714286,15023946.0,227548013.0,4,1,,,0.0,1.0,0.5714285714285714,0.7142857142857143,0.0,519646266.0,2.0,44130177.14285714,5.0,0.5714285714285714,400602902.0,1.1428571428571428,18149786.285714287,8.874455857683296e+17,4221000.0,77,0.8571428571428571,39590385.0,1.0,9.0,0.5714285714285714,17224871.0,0.6038251192722114,0.75,73053761.0,5585946.0,8763312.285714285,0.4285714285714285,47738677.571428575,41416041333333.33,1.0,0.7142857142857143,1.3333333333333333,2.0,1.0,1.5,0.5,35568141.14285714,35568141.14285714,192477205.3529412,10.0,0.2857142857142857,79114085.71428572,16145890.42857143,30393534.42857143,0.7142857142857143,65155799.71428572,58026978.28571428,1.3888888888888888,62462621.14285714,103956896.0,2.0,0.7142857142857143,108048852.69444443,1.2714285714285714,0,1.0,3.0,0.8571428571428571,1608138758.0,1.492647058823529,0.8571428571428571,1608138758.0,110784263.0,97866534.0,0.1428571428571428,0.8571428571428571,1.0,0.0,31158352.285714287,0.7142857142857143,0.2857142857142857,52220525.71428572,1.75,10.0,1.4020900054542729,,,0.5456649169040662
529,1177996.0,100614.0,,2.0,,2.857142857142857,,82597631.6111111,0.0,236350722.0,0.0,706866004.0,1.4285714285714286,9.0,5,1.5714285714285714,9.0,1.2857142857142858,2.142857142857143,173442762.14285713,0.0,1.4285714285714286,21409884.85714286,0.0,,0,0,1.8421052631578947,0.0,,0.0,2.0047146287708776e+16,,0.9665330471477456,0.0,,0.5714285714285714,0.0,,,7.0,5.0,10.0,9.0,197628622.0,,0,114141111.0,,0.0,48843592.28571428,,,0.0,12.5,1581453922.0,7144732.285714285,1,0.0,2.0,3142.8571428571427,804747823495200.0,22000.0,,5.0,-1054565.7142857143,0.0,130517111.0,2,0,,,1.0,3.5,0.2857142857142857,1.0,0.0,2631856.0,1.0,299433136.28571427,5.0,0.4285714285714285,0.0,0.2857142857142857,0.0,19408867616893.77,0.0,90,0.1428571428571428,4981957.0,0.0,10.0,0.1428571428571428,0.0,123.2833892512064,1.1666666666666667,100614.0,0.0,0.0,0.4285714285714285,3007495.8571428573,0.0,2.0,0.8571428571428571,1.8333333333333333,0.0,0.5,1.5,1.0,0.0,0.0,118278667.45,7.0,1.1428571428571428,50.85714285714285,14429165.57142857,31698406.285714287,0.2857142857142857,0.0,5731217.142857143,1.2272727272727273,7518.857142857143,0.0,1.0,0.7142857142857143,55542974.27272727,1.8444444444444448,0,0.0,0.0,0.8571428571428571,20059260.0,2.6287878787878785,0.0,20059260.0,127547111.0,17544.0,0.7142857142857143,1.0,1.0,0.0,408991.5714285714,0.1428571428571428,1.2857142857142858,326436.14285714284,1.0,7.0,1.0358669166338508,,,0.6583406300680025
331,662932295.0,0.0,0.0,0.7142857142857143,,2.142857142857143,61.28473373344765,207176606.1578948,0.0,3314881926.0,0.0,3576213587.0,1.2857142857142858,12.0,0,1.2857142857142858,5.0,3.571428571428572,1.4285714285714286,93152690.71428572,2.0,1.1428571428571428,243682698.42857143,0.0,,1,4,0.7619047619047619,534972998.0,,-10880268.0,1.2906609560689083e+18,,2.439083925755956,0.0,,1.0,2.0,0.0,20803576.0,0.0,18.0,11.0,11.0,556309634.4285715,,0,425292557.0,,0.0,158067658.57142857,0.0,0.0,13488035.0,9.466666666666669,502385157.0,167109053.0,1,-10880268.0,2.142857142857143,8236525.714285715,6.530629544302309e+17,-335365307.0,,4.0,-22829027.285714287,0.0,99209047.0,0,3,6.0,,1.0,4.142857142857143,2.4285714285714284,3.142857142857143,163045392.0,661544730.0,1.0,92609498.14285716,6.0,2.0,85270391.0,1.2857142857142858,115358410.71428572,1.6496582268463315e+17,-8173894.0,56,1.4285714285714286,107989313.0,0.0,7.0,2.7142857142857144,-10880268.0,1.3092525560176784,0.6,238700772.5,0.0,18063295.42857143,1.5714285714285714,121563104.28571428,1387374601554662.2,1.3333333333333333,0.8571428571428571,1.2,5.0,25.142857142857142,1.5,1.0,547064913.8571428,98957162.28571428,263352037.66666663,26.0,0.2857142857142857,116794705.14285716,32924010.42857143,236949791.85714287,0.7142857142857143,115358410.71428572,32107215.71428572,2.5,104078321.28571428,49350214.0,1.0,0.5714285714285714,266544292.0952381,0.9745222929936306,1,1.0,0.0,1.5714285714285714,1473365778.5,10.028947368421052,2.4285714285714284,1473365778.5,0.0,283691925.0,1.1428571428571428,1.2857142857142858,3.857142857142857,107989313.0,75781514.85714285,1.0,0.8571428571428571,59126385.28571428,1.6,11.0,0.4321576055845472,,0.6246366875953935,1.6537886726044153
424,41219670.571428575,0.0,,0.8571428571428571,,0.7142857142857143,,20608896.8,0.0,199354697.0,0.0,9696500000.0,0.2857142857142857,8.0,6,0.2857142857142857,4.0,0.2857142857142857,3.142857142857143,190670891.7142857,2.0,1.1428571428571428,28672770.57142857,13900.0,,0,0,1.4,16624635.0,,195309.0,121605599376450.0,,0.7053542009423127,0.0,,0.1428571428571428,0.0,,,1.0,9.0,10.0,8.0,152278214.2857143,,2,173698062.0,,548447.0,14901345.57142857,,1.0,91710491.0,1.9,54953350.0,305959457.14285713,4,0.0,0.7142857142857143,-289.7142857142857,7.252478095373376e+16,-260800.0,,11.0,-58687.0,0.0,905247.0,3,0,,,2.0,0.75,0.0,0.4285714285714285,996339.0,195332616.0,1.0,7985296.142857143,7.0,0.4285714285714285,1012758.0,0.5714285714285714,5983011.285714285,335292852879459.0,-31411.0,93,0.1428571428571428,1047036.0,1.0,6.0,0.4285714285714285,195309.0,1.2210947238325411,1.0,34558890.5,2819172.0,39503725.0,0.7142857142857143,948765.1428571428,2645719633037420.0,1.75,1.4285714285714286,0.0,0.0,0.2142857142857142,1.0,1.0,17785082.85714286,5566870.0,8464686.615384616,9.0,0.2857142857142857,158658020.7142857,23661189.42857143,2897765.714285714,0.7142857142857143,5959900.142857143,26662522.0,1.21875,316568.0,5964438.0,4.0,0.7142857142857143,78465056.71875,1.5483870967741935,0,0.0,0.0,0.7142857142857143,3198172.0,1.8947368421052635,0.0,3198172.0,0.0,456109.0,0.0,0.1428571428571428,0.8571428571428571,1000539.0,739627.4285714285,0.7142857142857143,0.1428571428571428,10649605.142857144,1.0,8.0,0.6133825625,,1.1054495614035087,0.990500684185329
403,10804680.0,3202870.0,,1.0,,0.1428571428571428,1.003165211354631,5366889.875,1.0,58124635.0,11171386.0,,1.1428571428571428,8.0,10,0.0,5.0,0.5714285714285714,0.7142857142857143,292700004.71428573,1.0,0.2857142857142857,2306428.571428572,0.0,,0,0,1.0,0.0,,0.0,163805000000000.0,,2.224152596508304,0.0,,0.1428571428571428,2.0,,,,9.0,8.0,6.0,34361827.571428575,,0,17280000.0,,0.0,3762606.4285714286,,,0.0,0.0,,136285714.2857143,5,0.0,0.1428571428571428,451322.5714285714,199778801194984.5,-27595055.0,,5.0,338911.14285714284,0.0,479386.0,5,1,,,0.0,1.6666666666666667,0.1428571428571428,0.2857142857142857,136873375.0,29139997.0,2.0,0.0,2.0,0.8571428571428571,775083.0,0.0,518057.4285714286,7365302502220971.0,-434.0,108,0.5714285714285714,14573583.0,0.0,7.0,0.2857142857142857,322678.0,0.0,0.0,1601435.0,0.0,2765737.571428572,0.0,21615774.71428572,,1.0,0.5714285714285714,2.5,1.0,2.333333333333333,1.0,1.0,4165737.857142857,4165737.857142857,41912948.777777776,0.0,0.1428571428571428,264206.5714285714,13017965.714285716,2206301.4285714286,0.1428571428571428,518057.4285714286,0.0,1.35,7782494.0,5189304.0,5.0,0.1428571428571428,8245863.6,1.5897435897435896,0,0.0,0.0,0.4285714285714285,10769551.5,0.2333333333333333,0.1428571428571428,10769551.5,0.0,10631914.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,1874335.0,2401346.571428572,0.4285714285714285,0.8571428571428571,1949701.7142857143,2.2,7.0,0.6419501851851852,,,1.0068298121720882
