,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151,target
320,224078905.57142857,0.0,0.0,8.142857142857142,1.5,2.857142857142857,2.38710546875,57204563.75,0.0,651246451.0,65792507.0,1430924600.0,5.0,15.0,0,0.5714285714285714,6.0,5.285714285714286,6.285714285714286,22854736.71428572,0.0,1.1428571428571428,29108184.0,0.0,47000000.0,1,1,2.358490566037736,0.0,127860679.5,1000979.0,2.7737705887852467e+17,1.5,0.0404499550644204,0.0,7.760617760617761,0.1428571428571428,1.0,4000000.0,470914395.6666667,,18.0,11.0,6.0,95941516.42857143,193428571.42857143,1,119903530.0,345000000.0,1045041.0,164641843.14285713,3.0,7.5,1002026870.0,63.61904761904762,829863679.0,51699285.71428572,0,2561926.0,2.7142857142857144,116890843.57142857,447697386397068.1,-78000000.0,0.0,19.0,-48261295.85714286,850824335.0,25859.0,1,2,29.0,96000000.0,0.0,0.6666666666666666,1.1428571428571428,2.4285714285714284,22269145.0,1203128979.0,3.0,222991936.2857143,1.0,0.1428571428571428,250420668.0,0.0,30497701.42857143,1.931810023720184e+16,596624.0,34,2.857142857142857,7560272.0,0.0,7.0,1.7142857142857142,1000979.0,0.0507887117508554,,3901621.0,12333435.0,297018812.14285713,0.4285714285714285,38759343.28571428,2.901705554950533e+17,0.5,1.5714285714285714,2.0,0.0,0.6666666666666667,0.5,1.0,114468884.85714284,15042332.0,253270999.0,13.0,1.7142857142857142,92255404.71428572,305162262.14285713,376520.28571428574,2.142857142857143,69385908.0,184253425.7142857,2.107142857142857,124956790.14285716,7383944.0,6.0,0.0,282419946.7222222,2.767567567567568,2,0.0,0.0,3.571428571428572,265529069.0,0.5714285714285714,0.0,1636035.0,4299092.0,61656900.5,2.2857142857142856,1.2857142857142858,2.0,112896975.0,330645.4285714286,0.1428571428571428,1.4285714285714286,5943792.571428572,3.7142857142857135,8.0,1.137554140976504,,8.426,0.914831254933334,0
556,5454261.142857143,6138990.0,0.0,5.142857142857143,,0.2857142857142857,1.0298778422339507,169472008.0,0.0,402015474.0,0.0,0.0,7.142857142857143,22.0,4,0.7142857142857143,9.0,2.142857142857143,3.0,211234030.42857143,1.0,0.5714285714285714,8080173.142857143,0.0,,4,0,3.391304347826087,0.0,,1000000.0,1079068641800.0,,1.8039845824194929,0.0,1.0,0.2857142857142857,0.0,,1221445.0,24.0,34.0,9.0,8.0,4887793.0,,0,76967931.0,48000000.0,1509417.0,130370937.71428572,0.0,inf,0.0,10.333333333333334,3228097.0,14826833.57142857,1,1885318.0,0.2857142857142857,1906535.7142857143,1536911159379180.2,-56080986.0,,25.0,53174.0,0.0,60744214.0,2,0,3.0,,0.0,0.8333333333333334,1.4285714285714286,0.5714285714285714,0.0,185290307.0,3.0,461156.7142857143,3.0,0.2857142857142857,5303368.0,0.2857142857142857,2760023.8571428573,1.246725985132733e+16,22000.0,80,1.4285714285714286,9523538.0,0.0,11.0,1.4285714285714286,1240690.0,0.524241345844834,1.0,5950768.0,0.0,13411529.42857143,0.2857142857142857,75941950.85714285,,1.5,1.0,1.1428571428571428,0.0,0.5666666666666667,1.0,0.0,10268742.857142856,10733128.57142857,52135746.86666667,10.0,0.8571428571428571,5129105.428571428,16828648.42857143,25576907.14285714,0.2857142857142857,2879921.571428572,10238042.0,1.7837837837837838,10776547.714285716,22135868.0,1.0,0.4285714285714285,23228485.324324325,3.3,0,1.0,0.0,0.4285714285714285,58451772.0,1.4624999999999997,1.4285714285714286,58451772.0,77572353.0,3115525.0,0.2857142857142857,0.0,0.1428571428571428,0.0,2694205.714285714,0.2857142857142857,1.2857142857142858,4264630.428571428,2.6,10.0,0.9406614468085106,2.000506,inf,1.016466978602788,1
421,23597383.0,1272552.0,0.0,3.4285714285714284,,4.0,1.103578145511018,18522712.875,16.0,124910611.0,44371332.0,551867753.0,12.142857142857142,28.0,0,1.8571428571428568,28.0,1.5714285714285714,1.2857142857142858,19188742.85714286,3.0,1.1428571428571428,3017979.571428572,0.0,,9,3,0.5827338129496403,1542674.0,,83612.0,1670457206407140.8,,1.1814449644349625,0.0,,4.285714285714286,6.0,,,5.0,16.0,9.0,10.0,68062194.14285715,,0,30856358.0,,424182.0,4291304.428571428,0.0,0.0666666666666666,13665568.0,45.80952380952382,166079328.0,32450140.285714287,0,1887248.0,4.285714285714286,883624.7142857143,3481712027035.7,-18218386.0,,36.0,-11206411.285714284,39115783.0,1892955.0,1,6,1.0,,3.0,7.4,5.857142857142857,5.857142857142857,21299777.0,92053531.0,4.0,51609826.0,38.0,3.0,1204331.0,6.714285714285714,38775270.85714286,1635349998509961.8,3300.0,22,5.142857142857143,38571267.0,10.0,10.0,3.7142857142857135,83612.0,0.946941809371726,6.0,1522318.142857143,1531113.0,16438785.857142856,5.0,17537033.57142857,190399108027580.9,7.6,3.857142857142857,10.5,3.0,26.044444444444444,5.0,6.0,18806309.0,18030111.57142857,33974652.0,34.0,7.571428571428571,4851505.142857143,25328378.71428572,16255834.42857143,3.857142857142857,40137026.571428575,3549669.4285714286,5.407407407407407,14150318.285714284,48455690.0,0.0,6.142857142857143,11448159.5,0.4324324324324324,9,7.0,0.0,2.857142857142857,2601462.0,15.20797720797721,6.142857142857143,2601462.0,4373831.0,5132224.5,4.142857142857143,7.285714285714286,6.0,1639704.0,4640223.0,6.714285714285714,9.142857142857142,13212011.285714284,6.5,13.0,1.0077126293802243,0.5025516648399018,1.157554542311118,0.9889116075897406,0
184,224321481.42857143,0.0,0.0,3.2857142857142856,,10.714285714285714,,1050155.0,0.0,1362655.0,231557103.0,0.0,8.428571428571429,3.0,1,0.2857142857142857,24.0,13.0,12.0,4661334.571428572,0.0,0.2857142857142857,182450018.7142857,52564750.0,75400000.0,0,0,0.5709090909090909,0.0,63750400.0,825784.0,3.538263588846531e+16,12.5,1.015879590878607,0.0,,0.0,0.0,240000000.0,1446328.0,,2.0,7.0,5.0,42891308.571428575,8285714.285714285,8,375228605.0,,992655.0,336472.8571428572,2.0,0.2,105350253.0,745.0666666666667,961740449.0,87791796.28571428,0,0.0,10.714285714285714,-11470679.142857144,8827754749984766.0,-75434670.0,34285714.28571428,50.0,25095271.71428572,0.0,356689731.0,1,10,10.0,,1.0,0.6666666666666666,7.571428571428571,6.285714285714286,402269314.0,172066872.0,11.5,1035968.5714285716,,0.0,280752742.0,0.0,486150971.2857143,,-3463893.0,22,11.142857142857142,,0.0,1.0,9.0,825784.0,3.3179869170663194e-08,1.0,198542803.0,365870082.0,96470275.71428572,0.1428571428571428,0.0,,0.8,3.142857142857143,8.2,1.0,0.3333333333333333,1.0,,212037653.42857143,0.0,3635621.6666666665,1.0,8.0,456918929.7142857,386115.7142857143,522155.0,8.0,400767394.2857143,239864222.2857143,11.232558139534884,233281605.0,702263143.0,12.0,0.0,118080957.0,0.6345885634588564,12,0.0,0.0,7.714285714285714,387362557.5,0.5,0.1428571428571428,25037468.0,209680005.0,117190720.0,7.714285714285714,7.0,8.857142857142858,342582008.0,0.0,0.0,6.0,702936083.1428572,11.5,0.0,1.5044712814153314,2.827494726724767,0.6709289110276274,0.483688,0
496,68922446.14285715,0.0,0.0,3.2857142857142856,1.0,1.8571428571428568,0.0,,0.0,400018121.0,0.0,1800000.0,0.4285714285714285,2.0,0,0.0,4.0,5.857142857142857,2.142857142857143,287142.8571428572,0.0,0.0,2101114.285714286,0.0,30000000.0,0,0,6.909090909090909,0.0,69121.0,54821.0,1008468000000000.0,0.0,,,0.0,0.0,0.0,,12364875.5,,,3.0,2.0,4013714.285714286,0.0,0,5787060.0,,3936371.0,0.0,0.0,1.0,0.0,1.6,16254955.0,3721497.0,0,1786609.0,1.7142857142857142,15045285.714285716,14230000000000.0,-4000000.0,0.0,10.0,68189405.71428572,0.0,0.0,2,0,7.0,0.0,0.0,,0.5714285714285714,0.2857142857142857,17618015.0,4054821.0,0.5,0.0,1.0,0.2857142857142857,1435898.0,0.0,1137633.857142857,300281275956580.3,14300.0,65,1.2857142857142858,369121.0,0.0,2.0,0.2857142857142857,54821.0,,,,1185898.0,2821947.1428571427,0.0,18737118.0,0.0,,0.4285714285714285,0.3333333333333333,0.0,,,,70205896.57142857,7881899.571428572,76332167.57142857,,0.4285714285714285,2095533.571428572,0.0,3480881.1428571427,0.7142857142857143,2139076.4285714286,2545055.4285714286,0.64,8719328.0,1400447.0,20.0,0.1428571428571428,2051487.6666666667,4.8431372549019605,1,1.0,0.0,0.5714285714285714,3435898.0,,0.0,,1042936.0,3049821.0,0.7142857142857143,0.1428571428571428,0.2857142857142857,0.0,71547254.85714285,0.0,0.1428571428571428,1230383.142857143,0.8333333333333334,2.0,inf,inf,,0.6000286,1
168,69179712.28571428,0.0,,1.5714285714285714,,0.8571428571428571,inf,5499707.333333333,1.0,194611922.0,356134.0,309841400.0,1.2857142857142858,9.0,7,1.2857142857142858,5.0,2.142857142857143,2.571428571428572,38410150.71428572,2.0,1.4285714285714286,9459019.42857143,0.0,,0,2,2.2142857142857144,0.0,,19138.0,1.5631155193769168e+16,,0.9076465756732336,0.0,,0.5714285714285714,1.0,,,3.0,0.0,9.0,7.0,1076114.2857142857,,0,7990412.0,,211110.0,192753.14285714287,,0.0,502133.0,1.6666666666666667,5088965.0,9720000.0,2,0.0,0.7142857142857143,3588722.1428571427,6397799680000.0,-233750000.0,,11.0,3502491.714285714,26788733.0,0.0,4,2,,,1.0,1.0,0.8571428571428571,0.1428571428571428,0.0,233955889.0,0.5,1439860.7142857143,5.0,1.1428571428571428,44933.0,0.8571428571428571,121543.85714285714,3.3553165004523084e+16,8800.0,89,0.4285714285714285,1770713.0,0.0,6.0,0.4285714285714285,19138.0,0.97946946491393,1.0,3008850.0,110933.0,18419454.14285714,0.7142857142857143,151336.7142857143,918646050620000.0,0.75,0.2857142857142857,0.5,0.0,,1.0,1.0,90902202.85714284,100341926.0,38783800.2,10.0,0.1428571428571428,99150.0,296932.8571428572,33799278.0,0.2857142857142857,60978.57142857143,11546209.285714284,1.0,33967193.571428575,0.0,2.0,0.8571428571428571,10926049.407407409,3.9,0,0.0,0.0,0.2857142857142857,437333.0,0.515151515151515,0.7142857142857143,437333.0,0.0,13916116.5,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,3604913.857142857,0.2857142857142857,0.2857142857142857,23905.42857142857,0.5,5.0,1.4102564102564104,0.7272117767089346,,0.9461654020778116,1
120,1464423.7142857143,1278482.0,0.0,1.2857142857142858,,1.5714285714285714,0.995295693608963,3716991.888888889,1.0,191778470.0,1384923.0,47901920.0,0.0,12.0,10,0.1428571428571428,3.0,0.1428571428571428,0.7142857142857143,76084244.14285715,0.0,0.7142857142857143,27503799.85714286,500000.0,,1,3,3.333333333333333,0.0,,0.0,,,0.8979508151283869,0.0,1.0,0.4285714285714285,0.0,,,,26.0,13.0,7.0,8612062.42857143,,0,1958128.0,,0.0,142857.14285714287,0.0,3.0,0.0,5.333333333333333,3389379.0,9142857.142857144,2,0.0,1.5714285714285714,-68557.28571428571,,-2388473.0,,14.0,162647.57142857142,901920.0,0.0,4,0,2.0,,0.0,1.5,0.7142857142857143,1.0,1881360.0,96817875.0,0.5,484197.0,11.0,0.7142857142857143,2495601.0,0.8571428571428571,142857.14285714287,3362085940319.619,230777.0,98,0.1428571428571428,1230317.0,0.0,6.0,0.0,0.0,0.7145983361055499,1.0,2786743.0,0.0,569614.0,0.0,61265280.28571428,,0.3333333333333333,0.4285714285714285,0.5,0.0,1.9,1.0,1.0,20051314.0,20169722.57142857,30100030.8,12.0,0.0,3146139.4285714286,789313.2857142857,23642439.285714287,0.0,2243310.8571428573,0.0,0.8,757005.0,0.0,2.0,0.7142857142857143,85261681.7,3.111111111111111,0,0.0,0.0,1.4285714285714286,2495601.0,0.2571428571428571,0.5714285714285714,2495601.0,0.0,1000000.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,426551358.0,697111.7142857143,0.2857142857142857,0.1428571428571428,0.0,0.75,6.0,4.0,,,0.6059805028682322,1
302,15563413.0,12768686.0,814418.8571428572,7.142857142857143,0.0,5.714285714285714,,17209054.736842107,1.0,23920625.0,23242797.0,4881114.0,3.142857142857143,2.0,0,0.1428571428571428,25.0,7.285714285714286,4.714285714285714,11904457.142857144,2.0,0.2857142857142857,19799518.71428572,8831452.0,3900000.0,15,18,0.3779527559055118,8108883.0,7055138.0,103734.0,37415382961568.48,17.0,0.9889737084571713,0.0,,0.7142857142857143,2.0,-76000000.0,,1.0,2.0,12.0,9.0,711482358.1428572,3675571.4285714286,8,115103126.0,5000000.0,13889.0,9152364.285714284,1.0,0.631578947368421,17058222.0,19.14285714285714,29977054.0,475771186.7142857,0,1298051.0,6.0,-101112537.42857143,1175449150535027.8,-65910512.0,10340714.285714284,27.0,-2894282.285714286,14975993.0,30494152.0,0,18,56.0,12864500.0,0.0,1.6666666666666667,14.857142857142858,13.428571428571429,17563951.0,71901543.0,20.0,4866462.142857143,10.0,1.5714285714285714,9624717.0,1.8571428571428568,46494181.85714286,115371546660778.02,-631928.5,9,27.142857142857142,19224540.0,3.0,12.0,11.857142857142858,560400.0,1.4660749842453595,1.1666666666666667,7936953.0,46614239.0,23136017.71428572,1.1428571428571428,11114033.142857144,2757363586086.3003,2.0,15.0,9.142857142857142,3.0,0.5,2.0,1.5,10996120.142857144,3370661.1428571427,8153119.037037037,1.0,12.571428571428571,19289119.85714286,4309631.571428572,3200712.714285714,14.571428571428571,24277079.57142857,35050211.0,17.950819672131146,23676731.0,12057020.0,2.0,1.0,9095533.33962264,0.3663239074550128,17,2.0,2.0,15.571428571428571,15143199.0,1.0073891625615763,1.0,5061164.0,167538723.0,12705404.5,15.285714285714286,13.285714285714286,20.571428571428573,19623641.0,2560927.1428571427,1.1428571428571428,8.857142857142858,18860980.85714286,20.857142857142858,11.0,0.8793750532849102,0.9538473667312408,0.9344370963259264,1.1042071039935408,0
112,514285.7142857143,0.0,,0.8571428571428571,,0.7142857142857143,,1724229.0,0.0,1089743.0,53252.0,,0.4285714285714285,,0,0.4285714285714285,4.0,1.5714285714285714,1.2857142857142858,0.0,0.0,0.0,109334.42857142857,11000000.0,,0,0,0.9444444444444444,0.0,,1011680.0,1098962979333.7668,1.0,,0.0,,0.0,0.0,,,,1.0,1.0,0.0,11142857.142857144,,0,20038187.0,,1089723.0,155674.7142857143,,1.0,0.0,0.9166666666666666,55072450.0,19857149.57142857,1,1126161.0,1.0,128571.42857142857,198675968541.2,,,4.0,-71428.57142857143,0.0,0.0,1,0,,,0.0,0.6666666666666666,1.2857142857142858,0.8571428571428571,657950.0,,1.0,0.0,0.0,0.0,75964.0,0.0,17985168.85714286,,-52.0,62,0.7142857142857143,1175668.0,0.0,0.0,0.8571428571428571,,,1.0,,12075964.0,7327625.142857143,0.0,0.0,,1.0,0.8571428571428571,0.75,0.0,0.3333333333333333,1.5,0.0,772313.2857142857,155677.57142857142,1439534.4,,0.5714285714285714,5392675.0,0.0,298534.71428571426,1.5714285714285714,17325086.57142857,1828128.857142857,1.3478260869565215,57273.142857142855,225621.0,20.0,0.0,1011688.5,1.0736842105263158,0,0.0,0.0,0.7142857142857143,569010.0,0.5,0.0,1175691.0,175003252.0,,1.0,1.1428571428571428,1.7142857142857142,0.0,182095.42857142852,0.0,0.5714285714285714,6103784.0,0.8571428571428571,0.0,1.0,inf,1.0,0.9831312948662964,1
149,129334656.57142857,332706249.0,,0.2857142857142857,,1.4285714285714286,0.0,402497762.54545456,0.0,405113042.0,401416928.0,110364150.0,0.8571428571428571,9.0,3,0.4285714285714285,2.0,2.0,1.0,39898980.0,1.0,0.2857142857142857,224054756.1428572,0.0,,0,1,1.5714285714285716,210356165.0,,30049781.0,46995461370938.914,,inf,0.0,,0.0,0.0,,,1.0,12.0,10.0,3.0,2977119.714285714,,0,398372511.0,,287135733.0,182082593.2857143,,1.0,236109618.0,4.300000000000001,213255446.0,0.0,0,0.0,1.2857142857142858,23586993.85714286,,-90438200.0,,5.0,28361.28571428572,293761416.0,0.0,9,0,,,1.0,0.75,0.5714285714285714,0.4285714285714285,0.0,271382227.0,1.0,60171984.571428575,0.0,0.1428571428571428,243994818.0,0.0,156978124.57142857,259793813065327.6,-12721125.0,121,0.5714285714285714,221082343.0,0.0,8.0,0.5714285714285714,45638367.0,4.312251657889527,0.3333333333333333,264611024.0,0.0,241323356.2857143,0.2857142857142857,29594499.57142857,1362599542859833.0,0.75,0.8571428571428571,0.0,0.0,0.5,1.0,1.0,167816432.2857143,209371279.85714287,233402117.1538461,7.0,0.1428571428571428,216579544.57142857,135980845.85714287,164546344.2857143,0.4285714285714285,232034031.42857143,102330422.0,0.825,93500143.57142857,223679781.0,0.0,0.0,198179191.2,1.6444444444444444,0,0.0,0.0,0.5714285714285714,243994818.0,0.2210526315789474,0.5714285714285714,243994818.0,0.0,248213377.0,0.1428571428571428,0.0,0.4285714285714285,0.0,88924281.28571428,0.4285714285714285,0.0,194743657.85714287,0.8,10.0,0.0543741896685847,1.3317227022518765,0.0,3.070035334571683,1
